criterion,thickness_cm,kvp_pair,delta_stpr,combined_sem,status
E-2a_thickness_monotonicity,0->5,60,0.6349644086905393,0.008068899459832465,確認
E-2a_thickness_monotonicity,5->10,60,0.7850370469465224,0.03958463678501859,確認
E-2a_thickness_monotonicity,10->15,60,0.963123738854909,0.10492649485450824,確認
E-2a_thickness_monotonicity,15->20,60,1.0357127752622364,0.23249449226754026,確認
E-2a_thickness_monotonicity,20->25,60,1.8000801057713454,0.7714307998794961,確認
E-2a_thickness_monotonicity,25->30,60,0.4886517066030489,1.3520035207880277,判定保留
E-2a_thickness_monotonicity,0->5,80,0.6056299424852938,0.007910093859419088,確認
E-2a_thickness_monotonicity,5->10,80,0.8111678571182742,0.028840650040159475,確認
E-2a_thickness_monotonicity,10->15,80,0.906269066435855,0.056956814780542264,確認
E-2a_thickness_monotonicity,15->20,80,1.158220852367414,0.15068408952282814,確認
E-2a_thickness_monotonicity,20->25,80,1.6669924800374898,0.48007554723009166,確認
E-2a_thickness_monotonicity,25->30,80,1.7822449054160803,1.0523227638592672,判定保留
E-2a_thickness_monotonicity,0->5,100,0.6079429554847864,0.007378968065191848,確認
E-2a_thickness_monotonicity,5->10,100,0.7671383285559062,0.02384452557566443,確認
E-2a_thickness_monotonicity,10->15,100,0.9211897799913793,0.06777980189173699,確認
E-2a_thickness_monotonicity,15->20,100,1.1613427884223997,0.15105697755463326,確認
E-2a_thickness_monotonicity,20->25,100,1.1307848217645535,0.31755080700486066,確認
E-2a_thickness_monotonicity,25->30,100,2.641321723918156,1.027102632062234,確認
E-2a_thickness_monotonicity,0->5,120,0.5893152081208551,0.00660489022639444,確認
E-2a_thickness_monotonicity,5->10,120,0.7465467428767205,0.022363895350677215,確認
E-2a_thickness_monotonicity,10->15,120,1.0048371245380847,0.06929577411754315,確認
E-2a_thickness_monotonicity,15->20,120,1.155573245649356,0.14847662347772478,確認
E-2a_thickness_monotonicity,20->25,120,0.8194683051354157,0.2463368684892365,確認
E-2a_thickness_monotonicity,25->30,120,3.4962434758242527,0.9103806163494965,確認
E-2b_kvp_order,20,100->120,0.0380375882418309,0.19088838016589363,判定保留
E-2b_kvp_order,20,80->100,-0.024579351601154098,0.19740640185864414,判定保留
E-2b_kvp_order,25,100->120,-0.27327892838730694,0.35366932878631546,判定保留
E-2b_kvp_order,25,80->100,-0.5607870098740904,0.5406863772862542,判定保留
E-2b_kvp_order,30,100->120,0.5816428235187896,1.3261412780280597,判定保留
E-2b_kvp_order,30,80->100,0.2982898086279855,1.36747258017945,判定保留
