kvp,thickness_cm,stpr,stpr_sem,single_fluence,multiple_fluence
60,0,0.007188791044651308,0.0002935531923580295,9264406.753988476,58119.61728556905
60,5,0.6421531997351906,0.008063557838580997,109113806.60689637,63694373.92415302
60,10,1.427190246681713,0.03875464493948701,48053977.702765904,49212065.06124881
60,15,2.390313985536622,0.09750716290646261,18200266.212911658,26240363.337753013
60,20,3.4260267607988584,0.21105933316646744,6693647.146563311,12391638.04804112
60,25,5.226106866570204,0.7419969251189963,2458354.3970859847,5419484.446555901
60,30,5.714758573173253,1.1302009039711378,1136492.532860943,2392435.546523478
80,0,0.007099503442367619,0.0003083588216494817,10514878.096099967,59544.54763837686
80,5,0.6127294459276614,0.007904081205423595,153714506.9538303,93161980.00919835
80,10,1.4238973030459356,0.027736412800450968,79384767.12894501,86446019.29492149
80,15,2.3301663694817907,0.04974706177160594,34144952.20110343,54598416.28999023
80,20,3.4883872218492047,0.14223545507508212,14359565.133960772,29337247.14428885
80,25,5.1553797018866945,0.4585211078760238,5926786.235077072,14814712.944971723
80,30,6.937624607302775,0.94717558718991,2391719.779992686,7244277.7936400715
100,0,0.006194017793578982,0.0003763783754865366,11276270.851168074,78423.59716825077
100,5,0.6141369732783654,0.007369362864290728,192991000.27521846,116691438.63745828
100,10,1.3812753018342716,0.02267716673005973,108178771.89904296,120422961.76102233
100,15,2.302465081825651,0.0638736851416934,50622471.17840761,81588390.52814282
100,20,3.4638078702480506,0.13688813978705677,22226195.898719214,47163338.08674787
100,25,4.594592692012604,0.28653124125490653,9803515.608430825,25397558.14571677
100,30,7.23591441593076,0.9863263479062554,4196934.769915992,13261173.891682621
120,0,0.00557313730486515,0.00029701657888168867,11639868.112488113,64356.01383269617
120,5,0.5948883454257203,0.0065982085488858425,223289138.39500508,136001186.6833461
120,10,1.3414350883024408,0.021368375212014873,133028386.29343423,147164477.79755488
120,15,2.3462722128405256,0.06591886567097549,65361002.870545655,104258959.9352808
120,20,3.5018454584898815,0.13304138780093186,30410050.19000176,63946946.496730775
120,25,4.321313763625297,0.20732062586507272,13613779.280806381,35490850.93591466
120,30,7.81755723944955,0.8864598269046396,5921844.442009881,19040807.709802464
